Index,epoch,train/box_loss,train/seg_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss
152,153,0.9338,0.90644,0.87541,0.71182,0.54893,0.74983,0.598,0.22336,1.1525,1.2828
153,154,0.91972,0.91205,0.81173,0.73399,0.54134,0.68729,0.6063,0.20514,1.1568,1.263
154,155,0.90051,0.91568,0.88529,0.6798,0.53082,0.73818,0.56897,0.2086,1.1634,1.2629
155,156,0.90779,0.92518,0.88862,0.71429,0.53256,0.75215,0.59798,0.21357,1.1679,1.3279
156,157,0.89955,0.94219,0.84882,0.7266,0.53732,0.75361,0.57635,0.20948,1.1778,1.3992
157,158,0.89825,0.93847,0.9152,0.68473,0.54756,0.76327,0.57143,0.21333,1.1783,1.438
158,159,0.9053,0.91268,0.89441,0.7069,0.54403,0.75175,0.58621,0.21212,1.177,1.3996
159,160,0.92894,0.97811,0.82213,0.74631,0.54092,0.68104,0.61576,0.20524,1.1585,1.3108
160,161,0.88857,0.91258,0.86817,0.71921,0.55383,0.74642,0.58002,0.21245,1.1677,1.325
161,162,0.90403,0.91867,0.90791,0.70424,0.55086,0.78884,0.56158,0.20277,1.196,1.2456
162,163,0.89206,0.92145,0.9096,0.71921,0.54946,0.75092,0.59852,0.21289,1.1676,1.2355
163,164,0.89843,0.92926,0.90834,0.72167,0.55927,0.753,0.59606,0.20928,1.16,1.2272
164,165,0.88942,0.92217,0.8964,0.70325,0.54535,0.74547,0.58431,0.21062,1.1916,1.3156
165,166,0.9083,0.91961,0.88684,0.72906,0.55908,0.76873,0.58621,0.20727,1.1474,1.2832
166,167,0.89225,0.91357,0.91484,0.72906,0.55562,0.76703,0.61576,0.20834,1.1648,1.2739
167,168,0.9089,0.91765,0.92139,0.6929,0.54813,0.79588,0.57389,0.21624,1.1749,1.3495
168,169,0.89268,0.91871,0.83784,0.71266,0.52633,0.76362,0.57635,0.20963,1.1854,1.3635
169,170,0.88818,0.91,0.8713,0.70036,0.53032,0.76647,0.54926,0.20338,1.1771,1.3026
170,171,0.88037,0.89587,0.90737,0.70197,0.54608,0.79372,0.56158,0.2157,1.1693,1.3292
171,172,0.86947,0.88625,0.88661,0.69331,0.54296,0.82195,0.54433,0.21671,1.154,1.3128
172,173,0.8808,0.92218,0.90171,0.70044,0.54005,0.76619,0.56501,0.20497,1.1713,1.2915
173,174,0.8977,0.93155,0.90229,0.70513,0.54457,0.79028,0.56158,0.20918,1.1851,1.2799
174,175,0.87483,0.89145,0.89739,0.68933,0.55653,0.7775,0.58528,0.21707,1.1317,1.2789
175,176,0.88197,0.87974,0.89189,0.73149,0.55721,0.7408,0.60591,0.2138,1.1619,1.3017
176,177,0.88146,0.89685,0.87368,0.7155,0.54726,0.73224,0.59947,0.21093,1.1479,1.265
177,178,0.89915,0.89914,0.89314,0.67488,0.54901,0.77059,0.58128,0.20727,1.1559,1.2923
178,179,0.86245,0.89035,0.92842,0.67085,0.55994,0.8236,0.56404,0.22663,1.1286,1.2804
179,180,0.87273,0.85156,0.87554,0.71675,0.56316,0.81241,0.58374,0.23189,1.132,1.2467
180,181,0.8776,0.89187,0.89363,0.70355,0.54138,0.76294,0.58374,0.20906,1.1566,1.2733
181,182,0.86775,0.83175,0.87831,0.6798,0.54928,0.7977,0.53417,0.22349,1.1615,1.3098
182,183,0.87333,0.88536,0.86838,0.74749,0.56281,0.72075,0.60395,0.21836,1.1759,1.2645
183,184,0.85192,0.84787,0.90437,0.72205,0.56282,0.77464,0.5936,0.2022,1.1616,1.2899
184,185,0.86714,0.92807,0.91067,0.70197,0.54896,0.77568,0.57635,0.21264,1.1634,1.2978
185,186,0.86071,0.83856,0.89029,0.70443,0.55361,0.74105,0.57635,0.21665,1.1563,1.3034
186,187,0.85585,0.84555,0.85396,0.74631,0.56428,0.80956,0.57635,0.23054,1.152,1.3147
187,188,0.87752,0.92619,0.86949,0.71921,0.56508,0.78463,0.58128,0.21813,1.1222,1.2662
188,189,0.85318,0.84665,0.8149,0.74384,0.56084,0.7374,0.57882,0.2137,1.1251,1.3046
