,epoch,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,83,1.0971,1.1374,0.62796,0.81682,0.8692,0.6798,0.77906,0.49162,0.7803,0.56158,0.60309,0.19811,1.2335,1.3375,0.8437,0.81284,0.0083962,0.0083962,0.0083962
83,84,1.063,1.1197,0.60104,0.81426,0.92838,0.63857,0.75345,0.50063,0.80531,0.55015,0.58927,0.19672,1.2136,1.2701,0.89278,0.81524,0.0083764,0.0083764,0.0083764
84,85,1.095,1.0964,0.61334,0.81167,0.83866,0.69138,0.76649,0.49612,0.73701,0.60052,0.62545,0.21915,1.247,1.3422,0.89868,0.81752,0.0083566,0.0083566,0.0083566
85,86,1.0844,1.1038,0.63327,0.81562,0.85193,0.6798,0.77704,0.50813,0.71467,0.56758,0.58137,0.19129,1.2081,1.3562,0.87074,0.81504,0.0083368,0.0083368,0.0083368
86,87,1.0614,1.1152,0.61514,0.8113,0.80681,0.69948,0.7678,0.50473,0.71096,0.56948,0.58008,0.19326,1.2431,1.3135,0.88026,0.81579,0.008317,0.008317,0.008317
87,88,1.1035,1.1277,0.61781,0.81629,0.8928,0.65645,0.76089,0.50176,0.73534,0.53941,0.56748,0.18979,1.2807,1.3348,0.89031,0.82253,0.0082972,0.0082972,0.0082972
88,89,1.0677,1.1098,0.58984,0.80822,0.87175,0.70197,0.78961,0.52924,0.81002,0.57759,0.63422,0.21393,1.2002,1.2759,0.80319,0.81429,0.0082774,0.0082774,0.0082774
89,90,1.073,1.0984,0.61273,0.80997,0.86737,0.69263,0.76961,0.50251,0.75141,0.57389,0.59421,0.19553,1.2961,1.3243,0.84852,0.81944,0.0082576,0.0082576,0.0082576
90,91,1.0681,1.092,0.60161,0.80626,0.84735,0.7069,0.78242,0.52025,0.73996,0.60591,0.62027,0.20965,1.2141,1.3329,0.87777,0.81589,0.0082378,0.0082378,0.0082378
91,92,1.0833,1.1301,0.61266,0.81218,0.92804,0.69883,0.78928,0.51768,0.79618,0.59653,0.6147,0.21244,1.1835,1.2819,0.7725,0.81395,0.008218,0.008218,0.008218
92,93,1.0655,1.087,0.61701,0.81609,0.80567,0.68227,0.76411,0.5069,0.70617,0.57389,0.58661,0.1977,1.1977,1.2937,0.86786,0.81487,0.0081982,0.0081982,0.0081982
93,94,1.0556,1.0809,0.58949,0.80832,0.899,0.67964,0.76964,0.50113,0.76872,0.58128,0.5966,0.21084,1.2148,1.2019,0.86486,0.81544,0.0081784,0.0081784,0.0081784
94,95,1.0662,1.103,0.5922,0.81365,0.9003,0.69458,0.78349,0.51989,0.79099,0.60099,0.63264,0.20445,1.1995,1.2513,0.86183,0.81512,0.0081586,0.0081586,0.0081586
95,96,1.0343,1.0827,0.58854,0.81568,0.88344,0.70443,0.78004,0.51044,0.76654,0.60837,0.61161,0.2042,1.2118,1.2371,0.82993,0.81456,0.0081388,0.0081388,0.0081388
96,97,1.0455,1.0847,0.57957,0.80646,0.89569,0.67677,0.78269,0.51102,0.81472,0.57389,0.63286,0.21157,1.2513,1.2532,0.89052,0.81531,0.008119,0.008119,0.008119
97,98,1.0425,1.0516,0.58247,0.80216,0.90321,0.67488,0.78236,0.51233,0.80104,0.56897,0.61892,0.20865,1.1925,1.2491,0.83829,0.81048,0.0080992,0.0080992,0.0080992
98,99,1.028,1.0675,0.57906,0.80544,0.86898,0.6698,0.77757,0.51821,0.79219,0.57277,0.63326,0.20497,1.2026,1.2816,0.87046,0.81458,0.0080794,0.0080794,0.0080794
99,100,1.0396,1.0837,0.58807,0.81015,0.85979,0.68227,0.77635,0.51266,0.76242,0.60072,0.63139,0.20718,1.2093,1.2456,0.90213,0.81512,0.0080596,0.0080596,0.0080596
100,101,1.0667,1.0997,0.59777,0.81103,0.89324,0.65517,0.76027,0.51441,0.79427,0.56106,0.60996,0.20612,1.1983,1.242,0.90011,0.81175,0.0080398,0.0080398,0.0080398
101,102,1.0485,1.1146,0.57368,0.80616,0.88632,0.67213,0.76896,0.51227,0.75689,0.57882,0.60224,0.19737,1.2088,1.2421,0.896,0.81377,0.00802,0.00802,0.00802
